STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
283471,01010695,,,7.75,6.17,,,6.6,6.5,5.25,8.6,5.50,01
283472,01010696,,,8.25,7.92,,,6.8,6.25,7.25,9.8,8.25,01
283473,01010697,,,8.5,7.5,,,4.6,6.25,8.0,8.8,6.00,01
283474,01010698,,,6.75,5.33,,,6.6,6.5,3.75,8.0,5.50,01
283475,01010699,,,6.0,5.33,,,5.6,6.75,5.0,6.8,5.00,01
283476,01010700,,,5.5,5.92,,,8.8,7.25,4.25,8.4,8.00,01
283477,01010701,,,8.25,6.42,,,8.8,8.0,5.25,9.2,5.75,01
283478,01010702,,,5.25,5.42,,,7.2,6.5,3.75,8.4,7.25,01
283479,01010703,,,5.25,6.5,,,8.6,6.5,5.75,9.6,8.50,01
283480,01010704,,,5.75,5.17,,,4.8,7.5,2.75,9.0,7.00,01
283481,01010705,,,8.25,6.75,,,6.0,5.75,5.0,8.6,7.00,01
283482,01010706,,,5.0,5.83,,,7.4,5.75,5.0,8.8,7.50,01
283483,01010707,,,8.5,7.0,,,4.4,4.5,4.5,9.0,8.00,01
283484,01010708,,,2.5,2.83,,,5.6,6.5,3.25,8.4,2.75,01
283485,01010709,,,6.0,4.92,,,3.4,6.0,4.75,7.8,4.00,01
283486,01010710,,,8.0,6.58,,,8.2,6.25,6.25,8.8,5.50,01
283487,01010711,,,3.5,5.0,,,8.6,7.0,4.0,8.6,7.50,01
283488,01010712,7.25,8.0,,,6.75,5.0,,8.0,,6.2,,01
283489,01010713,,,8.75,8.0,,,8.6,6.5,7.75,8.2,7.50,01
283490,01010714,,,3.75,4.83,,,6.2,4.75,3.75,8.2,7.00,01
283491,01010715,,,8.75,7.17,,,7.0,7.75,8.75,9.0,4.00,01
283492,01010716,,,6.75,5.67,,,4.2,7.0,3.5,8.2,6.75,01
283493,01010717,,,6.0,5.42,,,4.8,4.25,5.5,7.4,4.75,01
283494,01010718,,,8.0,6.08,,,6.8,6.25,2.0,8.8,8.25,01
283495,01010719,,,7.5,5.75,,,7.6,5.5,6.75,8.8,3.00,01
283496,01010720,,,4.75,4.5,,,7.8,6.75,5.25,8.2,3.50,01
283497,01010721,,,4.75,6.0,,,8.0,4.25,5.5,8.8,7.75,01
283498,01010722,,,9.0,7.0,,,5.2,7.25,4.75,8.0,7.25,01
283499,01010723,,,7.25,6.42,,,5.8,7.5,4.5,7.6,7.50,01
283500,01010724,,,8.25,7.08,,,6.2,7.0,4.5,9.2,8.50,01
283501,01010725,,,8.5,7.08,,,4.0,7.5,5.5,8.0,7.25,01
283502,01010726,,,7.25,7.17,,,8.8,6.25,5.25,8.6,9.00,01
283503,01010727,7.0,9.25,,,7.25,5.5,5.4,6.5,,6.2,,01
283504,01010728,,,5.25,6.0,,,7.6,7.5,5.0,8.8,7.75,01
283505,01010729,7.5,9.25,,,8.17,7.75,6.4,7.5,,7.4,,01
283506,01010730,,,8.5,7.08,,,5.8,6.25,3.75,9.8,9.00,01
283507,01010731,,,5.5,5.83,,,7.2,5.25,4.0,9.0,8.00,01
283508,01010732,,,8.0,7.25,,,9.2,6.0,5.5,8.8,8.25,01
283509,01010733,,,7.25,6.75,,,4.0,4.5,5.75,6.4,7.25,01
283510,01010734,,,9.25,6.67,,,9.6,6.25,5.75,8.4,5.00,01
283511,01010735,,,8.0,6.83,,,4.2,7.5,5.0,8.6,7.50,01
283512,01010736,,,8.25,6.92,,,5.8,7.25,7.5,8.4,5.00,01
283513,01010737,,,9.0,8.08,,,7.8,7.0,8.75,8.6,6.50,01
283514,01010738,,,8.5,6.5,,,8.4,5.5,5.5,7.4,5.50,01
283515,01010739,,,5.0,5.42,,,7.4,6.25,5.25,7.0,6.00,01
283516,01010740,,,7.25,7.33,,,7.2,6.0,7.0,8.4,7.75,01
283517,01010741,,,8.25,7.25,,,5.2,6.0,5.0,9.2,8.50,01
